Species,Clutch,Juv_Survival_0,Juv_Survival_1,Capt_Longevity,Wild_longevity,Wild_inv_Longevity,Breeding_prob,Hatching,Nest_survival,Rate,Home_range,Dispersal,Density_5k,Density_1k
Bungarus caeruleus,13,0.65,0.585,7.5,3.69150309617764,0.270892363881652,0.75,0.75,0.5,0.798560761118348,13,0.140864029218459,2500,100
Bungarus ceylonicus,20,0.5,0.45,2,1.30288344570976,0.767528364331348,0.75,0.75,0.5,0.498096635668651,2,0.061402269146508,125,5
Daboia russelii,30,0.675,0.6075,4.5,2.38861965046789,0.418651835089826,0.75,0.75,0.5,2.14423878991017,5,0.083730367017965,1250,50
Echis carinatus,8,0.65,0.585,2,1.30288344570976,0.231049060186648,0.75,0.75,0.5,0.427075939813352,1,0.009241962407466,250,10
Hypnale spp,8,0.75,0.675,3.25,1.84575154808882,0.541784727763305,0.75,0.75,0.5,0.217590272236695,0.7,0.015169972377373,5000,200
Naja naja,20,0.55,0.495,11,5.21153378283902,0.191882091082837,0.75,0.75,0.5,1.20030540891716,16,0.122804538293016,1250,50
Trimeresurus trigonocephalus,6.8,0.6,0.54,5.5,2.82291413237114,0.354243860460622,0.75,0.75,0.5,0.162131139539378,0.7,0.009918828092897,500,20
