n_sampled,n_bitten,n_envenom,cluster_long,cluster_lat,elevation,climate,popden,occupation,climate2,climate3,elevation1,elevation2,occupation1,occupation2,sb_logit_p
133,0,0,80.735381,7.119587,1346.176066,3,1056.39,0.47,0,1,1346.176066,1186.176066,0.47,0.38,-5.587248658
135,0,0,79.993692,6.430125,5.2835776,3,576.385,0.006350859,0,1,5.2835776,0,0.006350859,0,-5.602118821
157,0,0,80.00461,6.406201,5.448027184,3,287.178,0.04,0,1,5.448027184,0,0.04,0,-5.752572639
148,0,0,80.057705,6.380043,11.22914906,3,404.263,0.04,0,1,11.22914906,0,0.04,0,-5.693732139
139,2,1,80.053314,6.357234,16.90642584,3,823.137,0.01,0,1,16.90642584,0,0.01,0,-4.007333185
151,0,0,80.039573,6.317045,11.0448737,3,1506.36,0.01,0,1,11.0448737,0,0.01,0,-5.713732806
138,0,0,80.10204,6.338452,16.8565481,3,883.164201,0.07,0,1,16.8565481,0,0.07,0,-5.624017506
144,0,0,80.078263,6.266405,8.806355048,3,3641.83,0.07,0,1,8.806355048,0,0.07,0,-5.666426688
132,0,0,80.162077,6.312275,12.03796416,3,271.083,0.1,0,1,12.03796416,0,0.1,0.01,-5.579729826
150,1,0,80.230233,6.340865,21.20183802,3,543.527,0.11,0,1,21.20183802,0,0.11,0.02,-4.601831285
146,0,0,80.444956,6.28884,203.2746644,3,296.269,0.16,0,1,203.2746644,43.27466445,0.16,0.07,-5.680172609
156,0,0,80.548344,6.300107,154.0170863,3,430.075,0.12,0,1,154.0170863,0,0.12,0.03,-5.746203191
155,4,0,80.509178,6.251143,143.7723164,3,287.875,0.12,0,1,143.7723164,0,0.12,0.03,-3.516508228
139,2,0,80.608507,6.312776,314.133403,3,635.4493295,0.15,0,1,314.133403,154.133403,0.15,0.06,-4.007333185
159,2,1,80.58231,6.27155,260.6622184,3,380.778,0.15,0,1,260.6622184,100.6622184,0.15,0.06,-4.143134726
143,0,0,80.597523,6.264966,234.4973785,3,601.793,0.15,0,1,234.4973785,74.49737848,0.15,0.06,-5.659482216
144,1,1,80.55701,6.238482,257.0631743,3,599.001,0.15,0,1,257.0631743,97.06317434,0.15,0.06,-4.560869927
160,0,0,80.621867,6.174065,92.23441321,3,196.279,0.23,0,1,92.23441321,0,0.23,0.14,-5.771441123
153,0,0,80.590057,6.152186,53.2643622,3,918.144,0.23,0,1,53.2643622,0,0.23,0.14,-5.726847748
143,1,0,81.006502,6.273472,51.26998884,1,356.29,0.47,0,0,51.26998884,0,0.47,0.38,-4.553876892
156,0,0,81.160209,6.379639,80.28537753,1,44.022,0.47,0,0,80.28537753,0,0.47,0.38,-5.746203191
136,0,0,81.183318,6.343364,54.17521477,1,325.61,0.47,0,0,54.17521477,0,0.47,0.38,-5.609471795
154,2,0,81.182012,6.312422,58.90294764,1,143.831,0.47,0,0,58.90294764,0,0.47,0.38,-4.110873864
140,0,0,81.291616,6.335527,74.86048346,1,450.952,0.47,0,0,74.86048346,0,0.47,0.38,-5.638354669
158,1,0,81.255819,6.298187,27.53460661,1,761.585,0.28,0,0,27.53460661,0,0.28,0.19,-4.65396035
157,0,0,81.166447,6.24906,28.42291386,1,250.04,0.19,0,0,28.42291386,0,0.19,0.1,-5.752572639
149,3,2,81.076418,6.197415,34.72953453,1,16.789,0.19,0,0,34.72953453,0,0.19,0.1,-3.73426246
158,1,1,81.027672,6.167271,20.28855688,1,436.798,0.19,0,0,20.28855688,0,0.19,0.1,-4.65396035
186,2,2,79.771649,9.663452,4.913301811,1,276.1940233,0.28,0,0,4.913301811,0,0.28,0.19,-4.301358732
146,0,0,79.86337,9.751928,7.264892032,1,395.888,0.39,0,0,7.264892032,0,0.39,0.3,-5.680172609
185,2,2,79.935993,9.722464,4.27664,1,781.586,0.04,0,0,4.27664,0,0.04,0,-4.295923936
189,0,0,79.946557,9.717436,7.41864,1,589.89,0.04,0,0,7.41864,0,0.04,0,-5.937536205
206,0,0,79.972883,9.741747,8.533662109,1,2117.11,0.04,0,0,8.533662109,0,0.04,0,-6.023447593
106,0,0,80.00192,9.706239,11.09224826,1,5000,0.07,0,0,11.09224826,0,0.07,0,-5.361292166
81,0,0,79.973766,9.707768,3.240337242,1,502.653,0.07,0,0,3.240337242,0,0.07,0,-5.093750201
131,0,0,79.957601,9.7749,9.73711456,1,4013.13,0.07,0,0,9.73711456,0,0.07,0,-5.572154032
144,0,0,79.9072,8.987326,5.35072032,1,1623.05,0.01,0,0,5.35072032,0,0.01,0,-5.666426688
136,2,1,79.967427,8.904504,6,1,86.098,0.01,0,0,6,0,0.01,0,-3.985273467
76,1,0,79.980913,8.886914,7.959152518,1,81.725,0.01,0,0,7.959152518,0,0.01,0,-3.918667548
184,0,0,80.103272,9.089032,8.544697062,1,10.268,0.22,0,0,8.544697062,0,0.22,0.13,-5.910796644
174,0,0,80.040423,9.01049,3,1,95.3,0.22,0,0,3,0,0.22,0.13,-5.855071922
115,0,0,79.990799,8.974495,3.443860656,1,195.913,0.22,0,0,3.443860656,0,0.22,0.13,-5.442417711
147,0,0,80.186352,8.912436,53.33829202,1,3.503,0.48,0,0,53.33829202,0,0.48,0.39,-5.686975356
123,1,0,80.005056,8.827899,11.12295425,1,149.668,0.46,0,0,11.12295425,0,0.46,0.37,-4.402645922
152,0,0,80.03384,8.800732,15.45126067,1,91.452,0.46,0,0,15.45126067,0,0.46,0.37,-5.720311777
120,0,0,80.37797,8.628023,80.75910766,1,95.309,0.2,0,0,80.75910766,0,0.2,0.11,-5.484796933
138,2,2,80.513506,8.957183,92.47473581,1,12.164,0.38,0,0,92.47473581,0,0.38,0.29,-4.000033883
177,1,0,80.578588,9.05436,78.7642921,1,18.563,0.38,0,0,78.7642921,0,0.38,0.29,-4.767855768
131,1,0,80.62748,9.098286,64.95176,1,5.992,0.38,0,0,64.95176,0,0.38,0.29,-4.465908119
108,0,0,80.54544,9.055355,68.67353072,1,1.297,0.38,0,0,68.67353072,0,0.38,0.29,-5.379897354
107,1,0,80.669738,9.004982,71.28656072,1,63.259,0.38,0,0,71.28656072,0,0.38,0.29,-4.262679877
141,0,0,80.459192,8.698368,80.38950065,1,11.961,0.2,0,0,80.38950065,0,0.2,0.11,-5.645446898
140,2,0,80.551298,8.751053,117.1278435,1,35.13,0.2,0,0,117.1278435,0,0.2,0.11,-4.014579594
108,0,0,80.313229,8.566651,62.79285554,1,55.647,0.39,0,0,62.79285554,0,0.39,0.3,-5.379897354
125,0,0,80.783572,9.139323,22.58699242,1,34.947,0.2,0,0,22.58699242,0,0.2,0.11,-5.525452939
222,3,2,80.284605,9.221488,35.94553174,1,153.079,0.59,0,0,35.94553174,0,0.59,0.5,-4.138589264
298,1,1,80.550622,9.245951,65.51816,1,53.784,0.47,0,0,65.51816,0,0.47,0.38,-5.289949117
244,1,0,80.307862,9.053793,46.2254169,1,3.121,0.63,0,0,46.2254169,0,0.63,0.54,-5.089651834
83,1,1,80.354632,9.591427,9.085514042,1,126.345,0.24,0,0,9.085514042,0,0.24,0.15,-4.007333185
226,2,1,80.124116,9.428917,5.39392,1,0,0,0,0,5.39392,0,0,0,-4.497584975
104,0,0,80.469475,9.444621,10.14548,1,84.563,0.28,0,0,10.14548,0,0.28,0.19,-5.342334252
94,0,0,80.374877,9.480308,3,1,36.44916989,0.005357768,0,0,3,0,0.005357768,0,-5.241747015
63,0,0,80.173874,9.382023,14.68766627,1,9.029,0.18,0,0,14.68766627,0,0.18,0.09,-4.844187086
100,0,0,80.34558,9.465036,3.674531328,1,25.968,0.27,0,0,3.674531328,0,0.27,0.18,-5.303304908
162,2,2,81.35953,8.245242,9.187589856,1,22.498,0.29,0,0,9.187589856,0,0.29,0.2,-4.162003211
133,1,1,81.353336,8.21583,16.47746362,1,13.398,0.29,0,0,16.47746362,0,0.29,0.2,-4.481117537
157,1,1,81.335968,8.166268,14.81480509,1,22.748,0.29,0,0,14.81480509,0,0.29,0.2,-4.647590902
165,0,0,81.526859,7.919327,10.08859212,1,5000,0.15,0,0,10.08859212,0,0.15,0.06,-5.802118375
141,0,0,81.520149,7.910713,8.718420374,1,5000,0.12,0,0,8.718420374,0,0.12,0.03,-5.645446898
133,0,0,81.517802,7.914712,7.836392909,1,3527.23,0.12,0,0,7.836392909,0,0.12,0.03,-5.587248658
155,0,0,81.534334,7.88635,7.65498208,1,718.63,0.09,0,0,7.65498208,0,0.09,0,-5.739792912
155,0,0,81.340645,7.808913,54.74864,1,11.506,0.38,0,0,54.74864,0,0.38,0.29,-5.739792912
155,0,0,81.529633,7.867911,6.413472158,1,645.104,0.38,0,0,6.413472158,0,0.38,0.29,-5.739792912
162,0,0,81.264782,7.464275,111.4522083,2,67.296,0.26,1,0,111.4522083,0,0.26,0.17,-5.783825182
122,1,1,81.282308,7.357876,134.5903913,2,35.683,0.26,1,0,134.5903913,0,0.26,0.17,-4.394449155
111,1,1,81.299931,7.508582,71.06289783,2,89.888,0.41,1,0,71.06289783,0,0.41,0.32,-4.299550413
110,1,0,81.368902,7.503365,62.29854469,2,84.363,0.41,1,0,62.29854469,0,0.41,0.32,-4.290459441
125,2,1,81.647908,7.494429,35.29435265,1,1245.43,0.34,0,0,35.29435265,0,0.34,0.25,-3.899950424
