"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"17",438522.570567719,806536.488324056,2.61107454768705e-07,2.39215821198514e-12,7.62333431936213e-08,2.96603394289718e-07,3.74641681011312e-08,6.33930106186398e-08,2.33572225449841e-09,7.37139485384526e-07,4.80373905777328e-06,5.60510720539827e-06,3.04586000944248e-05,12636.891518501,0.00240367509720501,0.00167735198291371,3
"18",443117.570567719,806536.488324056,2.56036956969297e-07,1.32027117391603e-13,1.06138536626332e-07,6.8041544398767e-07,4.80486574971906e-08,2.66600714171616e-07,9.01365791033948e-10,1.35814180707026e-06,9.98423511942926e-06,9.83488795616458e-06,6.24094992173899e-05,3997.30966939022,0.00251944248293736,0.00259391966459963,3
"22",410952.570567719,801926.488324056,2.52189034988248e-07,3.30133798733179e-13,5.23066974178477e-08,3.92034563034827e-07,2.17147618775115e-08,3.72704056506024e-08,1.70805550519376e-09,7.57223848608029e-07,5.25692558986063e-06,5.44468983821683e-06,3.13552594181587e-05,23196.3358328834,0.00155177969515687,0.00151623381658476,4
"23",415547.570567719,801926.488324056,2.37892191723432e-07,6.57003525722687e-13,1.09984858998047e-07,2.1529535110254e-07,4.22319130777282e-08,7.91389052068325e-08,6.3306718062206e-09,6.90874548918326e-07,4.36461511110893e-06,5.47966929587048e-06,2.95832933629854e-05,39901.9156383101,0.00116312036671001,0.00161207374977709,4
"24",420142.570567719,801926.488324056,2.31931959859821e-07,7.85264389888387e-14,1.17609859406897e-07,1.85963746623941e-07,4.69099903366299e-08,8.82384060263419e-08,7.26642970100277e-09,6.77920470481073e-07,4.21827085144469e-06,5.45561817202559e-06,2.92084346558317e-05,43121.3773583834,0.0016154305217285,0.00228271264298666,4
"25",424737.570567719,801926.488324056,2.50746328589457e-07,9.66496381963667e-14,7.73845307833199e-08,3.28801768034737e-07,3.5650921992314e-08,1.31360109345557e-07,2.10463979403996e-09,8.26048395189063e-07,5.43452428585764e-06,6.34797689962439e-06,3.52959393684995e-05,20160.5899244984,0.00200002684670506,0.0026906371373948,4
"26",429332.570567719,801926.488324056,2.50388777267574e-07,5.29322842364625e-12,9.41881401761435e-08,4.87478935440322e-07,4.48406485276109e-08,1.71136323334764e-07,1.26094653642161e-09,1.04929906451126e-06,7.4407311047444e-06,7.73036290938992e-06,4.68264277655284e-05,10506.8235688746,0.00219329879822995,0.00251469469565792,3
"27",433927.570567719,801926.488324056,2.34087282446893e-07,8.39393208803066e-12,8.99939862630816e-08,3.48722463350271e-07,4.53351052254192e-08,1.02299320792199e-07,3.19733666626076e-09,8.23643888676212e-07,5.65939115864598e-06,6.14670480343648e-06,3.58116748731889e-05,2198.93392947166,0.00231499770824352,0.00236678742832696,3
"28",438522.570567719,801926.488324056,2.59432612725874e-07,4.5836636090231e-12,1.10039052758637e-07,3.95028951771792e-07,5.49856792320114e-08,1.7283284581282e-07,2.3196508117107e-09,9.94643376776454e-07,6.77741067515685e-06,7.56551239697611e-06,4.40484004729057e-05,3886.8125214973,0.00242347188819939,0.00296960271789047,3
"30",447712.570567719,801926.488324056,2.06702347682608e-07,1.43354584074683e-13,1.17353117889962e-07,4.39933575790974e-07,5.40810065619013e-08,3.65799365020791e-07,9.92193082902104e-10,1.18486174938372e-06,8.12732558896962e-06,9.26145283120293e-06,5.54373282143377e-05,1793.49180141316,0.0025320553731073,0.00266945432136474,3
