"","Median","Std.Dev","Cr.025","Cr.975"
"beta0[1]",-12.9193486360689,0.114486095838563,-13.1473606159665,-12.6944212213353
"beta0[2]",-12.8727391162503,0.115018951515492,-13.0888539143139,-12.6293908805973
"beta0[3]",-13.1187598236921,0.126562660721412,-13.3506796268465,-12.8599358785866
"beta0[4]",-11.8498333640812,0.159720372877631,-12.1597111111412,-11.5319509209418
"beta0[5]",-11.322835424102,0.201574236825234,-11.7203118867551,-10.9286789711017
"beta1[1]",-0.00393781660843408,0.000679558133401,-0.00518608358477762,-0.00249287526060285
"beta1[2]",-0.00570346492906108,0.000666841340492602,-0.00716531738250329,-0.0044671160158463
"beta1[3]",-0.00146534555514034,0.00118693740307872,-0.00356079024620111,0.00109142528405834
"beta1[4]",-0.0186738419369579,0.00128965589412143,-0.0210801906149392,-0.0161037894231747
"beta1[5]",-0.0274361847582444,0.00188177368279355,-0.0318449862086341,-0.0240986505723551
"indices[1]",4.34387512278044,0.482342224773809,3.37416904502817,5.36376697233714
"indices[2]",5.58875578673742,2.26546525660542,1.62102042400272,9.94413873204569
"indices[3]",1.7274541575982,0.391255162007741,1.0992236652822,2.68728845189783
"indices[4]",2.81393366674839,0.978376728765097,0.882906049260246,4.57331750260146
"indices[5]",0.0478502056964745,0.0152536220558909,0.0197280849779272,0.0791044996175425
"indices[6]",3.51695620351619,0.695230632536666,2.26712379193082,4.96120172170775
"indices[7]",0.145699491294903,0.11383359321832,1.28813199046507e-05,0.363299110256223
"r[1]",34.4774381054597,2.33835850449094,30.1302353926118,38.9411160120004
"r[2]",23.5624350903681,0.913854950969227,21.8383916007002,25.4058883838494
"r[3]",13.2573368198495,0.932791487650737,11.4339173426162,15.0615922380359
"r[4]",9.39623219245158,0.561970295061615,8.34770497820655,10.5265641125705
"r[5]",18.8545726597002,7.0247509757021,7.86060169959601,33.3518513867238
